0,0
0.05,19.398586
0.1,29.611086
0.15,36.311286
0.2,41.39897
0.25,45.654681
0.3,49.463585
0.35,53.042857
0.4,56.529325
0.45,60.018492
0.5,63.584024
0.55,67.288555
0.6,71.190394
0.65,75.348316
0.7,79.825601
0.75,84.694101
0.8,90.039004
0.85,95.965085
0.9,102.605595
0.95,110.135639
1,118.793308
1.05,128.914555
1.1,140.993285
1.15,155.789587
1.2,174.53384
1.25,199.329946
1.3,233.989035
1.35,285.821861
1.4,369.571626
1.45,515.788276
1.5,785.785104
1.55,1282.793798
1.6,2108.172454
1.65,3257.880122
1.7,4726.442631
1.75,6512.009401
1.8,8720.265553
1.85,11459.429229
1.9,14887.904937
1.95,19350.577348
2,26042.602019
2.05,39200.400311
2.1,65518.130312
2.15,100476.654669
2.2,136976.920182
2.25,176029.817842
2.3,215228.81
